id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
46	application	-0.1587	-0.1051	2	413	526	12	2018.1667
47	appropriate interface modifier	2.7005	-0.4806	11	52	52	1	2018
48	aqueous bio gel polymer	0.6101	0.248	26	51	51	1	2022
49	aqueous dye sensitized solar cell	0.6096	0.2487	26	51	51	1	2022
50	aromatic group	-0.1208	0.127	18	44	44	1	2016
51	arrhenius behavior	-0.5264	0.2408	3	46	46	1	2016
52	aspiration	-0.0452	-0.3741	5	42	42	1	2021
53	atomic force microscopy	-0.2254	-0.175	2	32	32	1	2010
54	attention	-0.1542	-0.614	8	133	143	3	2022
55	attractive property	2.7007	-0.483	11	52	52	1	2018
56	available beetroot	-0.3981	-0.5999	17	51	51	1	2020
57	available pyridine	0.5923	0.7115	12	74	74	1	2023
58	available raw material	-0.0984	-0.9914	8	45	45	1	2020
59	bacterial nanocellulose	0.4568	-0.6913	19	43	43	1	2016
60	banana peel	-1.4924	-0.0751	14	51	51	1	2022
61	band gap energy	0.0879	-0.2113	22	61	61	1	2024
62	bare hec	0.8513	0.0911	10	57	57	1	2021
63	bare one	2.7002	-0.4816	11	52	52	1	2018
64	barker	-0.5205	-0.5561	1	37	37	1	2022
65	basis	-0.2259	1.1147	16	69	71	2	2014
66	bb dye	0.3536	0.4242	13	69	69	1	2021
67	behavior	0.2335	0.5453	9	108	108	2	2017.5
68	benign biopolymer nanofibrous membrane	-0.0956	-0.7445	23	40	40	1	2022
69	benzimidazole	0.7716	0.6989	6	83	83	1	2022
70	benzoate	0.5906	0.7105	12	74	74	1	2023
71	benzodimidazole ligand	0.7726	0.6943	6	83	83	1	2022
72	benzyl	0.5926	0.7125	12	74	74	1	2023
73	benzyl moiety	0.7731	0.6967	6	83	83	1	2022
74	best abundant earth biopolymer	-1.4942	-0.0741	14	51	51	1	2022
75	best affinity	-1.4924	-0.0753	14	51	51	1	2022
76	best conducting sample	-0.6078	-0.3471	1	62	62	1	2015
77	best device	0.4565	-0.6913	19	43	43	1	2016
78	best efficiency	-0.0454	-0.3738	5	42	42	1	2021
79	best ionic conductivity	-0.3571	0.048	25	44	44	1	2021
80	best performance	-0.1198	0.1268	18	44	44	1	2016
81	best qss dssc	-0.0944	-0.7446	23	40	40	1	2022
82	better stability	0.8507	0.0912	10	57	57	1	2021
83	binary compound semiconductor	-1.4924	-0.0748	14	51	51	1	2022
84	binding facility	2.7004	-0.4812	11	52	52	1	2018
85	bio organic compound	0.5897	0.7147	12	74	74	1	2023
86	bioblended polymer gel electrolyte	0.3554	0.4236	13	69	69	1	2021
87	biodegradable cellulose polymer gel electrolytes	0.853	0.0904	10	57	57	1	2021
88	bioelectrolytes ge	0.3562	0.426	13	69	69	1	2021
89	biogel electrolyte	0.3532	0.4253	13	69	69	1	2021
90	biomedical application	0.0995	-0.4044	7	72	72	1	2014
91	biopolymer	-0.2573	0.1706	16	358	443	11	2018.4545
92	biopolymer blend electrolyte system	-0.5152	-0.3089	15	41	41	1	2016
93	biopolymer blended cobalt	0.3555	0.4265	13	69	69	1	2021
94	biopolymer chitosan	-0.1515	-0.3864	5	25	25	1	2019
95	biopolymer cobalt redox	0.3565	0.4257	13	69	69	1	2021
96	biopolymer composite membrane	-0.2249	-0.1745	2	32	32	1	2010
97	biopolymer crust electrolyte	-0.7971	0.2338	3	27	27	1	2018
98	biopolymer electrolyte	-0.3765	-0.1626	1	283	373	9	2018.3333
99	biopolymer electrolyte function	-0.3981	-0.5993	17	51	51	1	2020
100	biopolymer electrolyte pt ito dye sensitized solar cell	-0.1512	-0.3866	5	25	25	1	2019
101	biopolymer electrolyte system	-0.066	-0.1503	21	56	56	1	2015
102	biopolymer electrolytes	-0.5591	0.1302	2	35	35	1	2023
103	biopolymer electrolytes system	-0.6064	-0.3472	1	62	62	1	2015
104	biopolymer gel	-0.0452	-0.375	5	42	42	1	2021
105	biopolymer gel electrolyte	0.355	0.426	13	69	69	1	2021
106	biopolymer gel electrolyte system	0.0588	-0.0258	27	49	49	1	2017
107	biopolymer gel electrolyte systems deal	0.8508	0.0909	10	57	57	1	2021
108	biopolymer gum acacia speciman	-1.0749	0.2487	20	39	39	1	2022
109	biopolymer host	0.5912	0.7106	12	74	74	1	2023
110	biopolymer hybrid electrolyte	-0.5693	-0.3923	1	41	41	1	2022
111	biopolymer hybrid system	-0.5699	-0.3929	1	41	41	1	2022
112	biopolymer ionic liquid composite membrane	-0.2255	-0.1743	2	32	32	1	2010
113	biopolymer matrix	-0.3764	0.1553	3	48	60	2	2013.5
114	biopolymer moiety	0.1032	-0.4063	7	72	72	1	2014
115	biopolymer structure	2.6999	-0.4818	11	52	52	1	2018
116	biopolymeric electrolyte	-0.3789	0.6396	28	21	21	1	2015
117	biopolymeric solid electrolyte	-0.379	0.6395	28	21	21	1	2015
118	biotechnology	0.0999	-0.4076	7	72	72	1	2014
119	black grape	-1.0739	0.249	20	39	39	1	2022
120	blend	-0.6077	-0.3456	1	62	62	1	2015
121	blend biopolymer electrolyte	0.7715	0.6971	6	83	83	1	2022
122	blend biopolymer system	-0.6072	-0.3476	1	62	62	1	2015
123	blended biopolymer	0.5904	0.7142	12	74	74	1	2023
124	blended biopolymer gel electrolyte	0.3559	0.4264	13	69	69	1	2021
125	blended polymer matrix	0.3556	0.4232	13	69	69	1	2021
126	blending	-0.6055	-0.3459	1	62	62	1	2015
127	blood berry	0.3561	0.4233	13	69	69	1	2021
128	bmii	0.0098	-0.3363	5	73	78	2	2020
129	bread crumb	-0.4139	1.358	16	44	44	1	2014
130	bridged pyridinyl	0.7737	0.6973	6	83	83	1	2022
131	bridged pyridinyl additive	0.7713	0.6981	6	83	83	1	2022
132	brief period	-0.397	-0.5991	17	51	51	1	2020
133	bulk resistance	0.5919	0.713	12	74	74	1	2023
134	bulky cf3 acceptor	0.7689	0.6957	6	83	83	1	2022
135	butyl	0.0054	-0.4722	5	176	190	4	2019
136	butylene	0.1305	0.6459	9	39	39	1	2014
137	butylene succinate	0.1309	0.6457	9	39	39	1	2014
138	c2 device	0.5902	0.7106	12	74	74	1	2023
139	c2 redox couple	0.5924	0.7136	12	74	74	1	2023
140	caf1 protein	2.7001	-0.4807	11	52	52	1	2018
141	caf1 ptio2	2.7016	-0.4814	11	52	52	1	2018
142	cap	-0.3977	-0.5995	17	51	51	1	2020
143	capacitive nature	-0.797	0.2335	3	27	27	1	2018
144	capacity	0.0869	-0.2111	22	61	61	1	2024
145	caprolactone	0.0475	0.5149	4	36	36	1	2022
146	carbohydrate polymer	-0.314	0.2102	3	38	38	1	2015
147	carboxy methyl cellulose	-0.3952	-0.3383	15	46	46	1	2024
148	carboxyl	0.0469	0.5145	4	36	36	1	2022
149	carboxylic group	0.1305	0.6457	9	39	39	1	2014
150	carboxymethyl	-0.5157	-0.3084	15	41	41	1	2016
151	carboxymethyl cellulose	-0.5011	-0.3435	15	102	108	2	2019.5
152	carboxymethyl cellulose sodium salt	0.325	-0.1205	24	46	46	1	2013
153	carboxymethyl kappa carrageenan	-0.6061	-0.3452	1	62	62	1	2015
154	carboxymethyl kappa carrageenan carboxymethyl cellulose	-0.5676	-0.4272	1	115	140	3	2019.6667
155	carboxymethyl kappa carrageenan carboxymethyl cellulose chain	-0.6067	-0.3451	1	62	62	1	2015
156	carboxymethyl kappa carrageenan carboxymethyl cellulose hybrid	-0.5694	-0.3928	1	41	41	1	2022
157	carboxymethyl kappa carragenan	-0.606	-0.3461	1	62	62	1	2015
158	carrageenan carboxymethyl cellulose blend	-0.5149	-0.308	15	41	41	1	2016
159	carrageenan carboxymethyl cellulose polymer electrolyte	-0.5147	-0.3082	15	41	41	1	2016
160	carrageenan dmso tbaii2	-0.0663	-0.151	21	56	56	1	2015
161	case	0.3543	0.4254	13	69	69	1	2021
162	catalyst	0.1313	0.6464	9	39	39	1	2014
163	catalytic effect	0.7714	0.6935	6	83	83	1	2022
164	cation	-0.3566	0.0485	25	44	44	1	2021
165	cation size	-0.5698	-0.3934	1	41	41	1	2022
166	cd spectroscopy	0.1011	-0.4037	7	72	72	1	2014
167	cell	0.7232	-0.1826	11	228	247	5	2016.8
168	cell efficiency	-0.3569	0.0482	25	44	44	1	2021
169	cell electrode	-0.3569	0.0492	25	44	44	1	2021
170	cell structure	0.5893	0.7112	12	74	74	1	2023
171	cellulose	0.3241	-0.3915	19	138	142	3	2016.6667
172	cellulose derivative	-0.6055	-0.3464	1	62	62	1	2015
173	cellulose substrate	0.4567	-0.6915	19	43	43	1	2016
174	cellulosic substrate	0.4563	-0.6906	19	43	43	1	2016
175	century	-0.0973	-0.9917	8	45	45	1	2020
176	chain	2.7007	-0.4811	11	52	52	1	2018
177	change	-0.4137	1.3589	16	44	44	1	2014
178	characteristic non ionic polysaccharide	-0.0405	0.2444	4	35	35	1	2020
179	characteristic peak	-0.1201	0.1268	18	44	44	1	2016
180	characterization	-0.2871	-0.039	2	158	191	4	2016
181	charge	-0.5156	-0.3079	15	41	41	1	2016
182	charge carrier	-0.5666	-0.4442	1	89	99	2	2018.5
183	charge carrier density	-0.5267	0.2409	3	46	46	1	2016
184	charge recombination	-0.1499	0.2209	4	38	38	1	2017
185	charge transfer	-0.1494	0.2204	4	38	38	1	2017
186	charge transfer resistance	0.6844	0.7043	6	141	157	2	2022.5
187	chelate complex structure	0.0467	0.5142	4	36	36	1	2022
188	chemical capacitance	0.4734	0.5694	13	138	143	2	2022
189	chemical stability	0.0862	-0.2114	22	61	61	1	2024
190	chemical titration	0.1309	0.646	9	39	39	1	2014
191	chemometric approach	-0.3789	0.6398	28	21	21	1	2015
192	chemometric doe approach	0.3252	-0.1202	24	46	46	1	2013
193	chitosan	-0.141	-0.2161	7	250	291	7	2017.1429
194	chitosan biopolymer	-0.1442	-0.8002	8	36	36	1	2023
195	chitosan doped	-0.225	-0.1748	2	32	32	1	2010
196	chitosan nai electrolyte	-0.3561	0.0481	25	44	44	1	2021
197	chitosan nanoparticle	-0.1496	0.2207	4	38	38	1	2017
198	chl particle	-1.4939	-0.0749	14	51	51	1	2022
199	chromophore	-1.0751	0.2487	20	39	39	1	2022
200	citric acid cross	0.0589	-0.0254	27	49	49	1	2017
201	classical flory theory	0.1308	0.6468	9	39	39	1	2014
202	clean energy	-0.397	-0.601	17	51	51	1	2020
203	cm2	0.7728	0.6976	6	83	83	1	2022
204	cm2 s1	0.0472	0.5151	4	36	36	1	2022
205	cmc	0.326	-0.1201	24	46	46	1	2013
206	cnc	0.4561	-0.6909	19	43	43	1	2016
207	cnc film	0.4558	-0.6916	19	43	43	1	2016
208	co2	0.5712	0.5656	6	147	152	2	2021.5
209	co2 3redox pair	0.3532	0.4244	13	69	69	1	2021
210	co3 ion species	0.7691	0.6951	6	83	83	1	2022
211	cobalt	0.769	0.6968	6	83	83	1	2022
212	colour	-1.0744	0.2484	20	39	39	1	2022
213	combination	-0.0977	-0.9909	8	45	45	1	2020
214	commercialization	-0.15	0.2206	4	38	38	1	2017
215	common organic solvent	-0.1206	0.1271	18	44	44	1	2016
216	communication	-0.5594	0.1299	2	35	35	1	2023
217	comparable power conversion efficiency	-0.0952	-0.7444	23	40	40	1	2022
218	comparative measured value	-0.4185	-0.0512	18	37	37	1	2017
219	comparison	-0.1662	0.1956	4	57	58	2	2016
220	comparison study	0.5897	0.7141	12	74	74	1	2023
221	compatibility	0.101	-0.4079	7	72	72	1	2014
222	competitive conversion efficiency	0.0581	-0.0254	27	49	49	1	2017
223	competitive cost	-0.0641	-0.151	21	56	56	1	2015
224	complex	0.3447	0.6787	9	112	113	2	2018.5
225	complex impedance spectroscopy	-0.3393	0.1754	3	57	71	2	2014
226	complex nature	-0.3142	0.2104	3	38	38	1	2015
227	complex structure	-0.5261	0.2408	3	46	46	1	2016
228	complexation	-0.491	-0.3479	15	116	128	3	2020.6667
229	component	0.1192	-0.2362	24	69	71	2	2016
230	composite	0.1025	-0.4042	7	72	72	1	2014
231	composite ionogel	0.0991	-0.4068	7	72	72	1	2014
232	composite material	0.0998	-0.4069	7	72	72	1	2014
233	composite nature	-0.3149	0.0871	3	91	130	4	2013
234	composition	-0.3691	0.0906	3	84	108	3	2015
235	concentration	-0.1573	-0.0481	21	80	83	2	2014.5
236	condition	0.7696	0.6962	6	83	83	1	2022
237	conduction	-0.3562	0.0479	25	44	44	1	2021
238	conductive carbon	-0.0953	-0.7439	23	40	40	1	2022
239	conductive layer	-0.3961	-0.3389	15	46	46	1	2024
240	conductive property	-0.6074	-0.3473	1	62	62	1	2015
241	conductivity	-0.6863	-0.2829	14	221	254	5	2018
242	conductivity data	-0.5257	0.2409	3	46	46	1	2016
243	conductivity enhancement	-0.3771	0.1234	3	33	33	1	2013
244	conductivity increase	-0.5148	-0.3087	15	41	41	1	2016
245	conductivity maxima	-0.4252	0.1115	3	125	163	4	2016.5
246	conductivity temperature plot	-0.6059	-0.3475	1	62	62	1	2015
247	configuration	-0.1514	-0.3868	5	25	25	1	2019
248	conformational change	0.058	-0.0267	27	49	49	1	2017
249	conformational stability	0.0995	-0.4057	7	72	72	1	2014
250	conjugated system	0.8519	0.0921	10	57	57	1	2021
251	constant current chargedischarge	-0.5589	0.1294	2	35	35	1	2023
252	constraint resistance	0.7692	0.6979	6	83	83	1	2022
253	continual escalation	-0.0982	-0.992	8	45	45	1	2020
254	continuous reorganization	0.1308	0.6466	9	39	39	1	2014
255	contrast	-0.7969	0.2338	3	27	27	1	2018
256	conventional conducting substrate	0.4556	-0.6905	19	43	43	1	2016
257	conversion efficiency	-0.1498	0.22	4	38	38	1	2017
258	cooling	0.0989	-0.4058	7	72	72	1	2014
259	copper complex	0.7731	0.695	6	83	83	1	2022
260	copper gel electrolyte system	0.7698	0.6942	6	83	83	1	2022
261	copper metal	0.5903	0.7112	12	74	74	1	2023
262	copper metal complex electrolyte	0.7689	0.6963	6	83	83	1	2022
263	copper redox	0.5903	0.7124	12	74	74	1	2023
264	copper redox mediator	0.5911	0.714	12	74	74	1	2023
265	cornstarch	-0.3833	-0.0617	2	57	57	1	2023
266	correlation study	0.3542	0.4267	13	69	69	1	2021
267	corresponding dssc	0.0587	-0.0269	27	49	49	1	2017
268	corresponding reference liquid electrolyte	-0.1816	0.1725	4	20	20	1	2015
269	cost	0.4562	-0.692	19	43	43	1	2016
270	cost effective polymer gel electrolyte	-0.0401	0.2447	4	35	35	1	2020
271	cost effective thermoplastic gel electrolyte	-0.045	-0.3743	5	42	42	1	2021
272	costly additive	0.6092	0.2481	26	51	51	1	2022
273	counter electrode	0.4608	0.2838	6	141	144	2	2023
274	crab shell	-0.12	0.1263	18	44	44	1	2016
275	creation	-0.1533	-0.2755	22	105	107	2	2024
276	credible competitor	0.0577	-0.0263	27	49	49	1	2017
277	criterium	0.6092	0.2487	26	51	51	1	2022
278	critical review	-0.097	-0.991	8	45	45	1	2020
279	cross	0.0589	-0.0263	27	49	49	1	2017
280	crumb firming	-0.4143	1.359	16	44	44	1	2014
281	crust electrolyte	-0.7967	0.2339	3	27	27	1	2018
282	crystal	0.0035	0.8175	9	27	27	1	2014
283	crystalline	0.4553	-0.6917	19	43	43	1	2016
284	crystalline phase	0.1307	0.6469	9	39	39	1	2014
285	crystalline solid biopolymer	0.0477	0.5145	4	36	36	1	2022
286	crystalline structure	0.0037	0.8175	9	27	27	1	2014
287	crystallinity	-0.2394	0.0658	3	264	360	9	2016.6667
288	crystallization	0.131	0.6458	9	39	39	1	2014
289	crystallization behavior	0.0033	0.8176	9	27	27	1	2014
290	cu1	0.7716	0.6959	6	83	83	1	2022
291	cu2	0.771	0.6989	6	83	83	1	2022
292	cumulative effect	0.3259	-0.1215	24	46	46	1	2013
293	current conversion efficiency	0.0468	0.515	4	36	36	1	2022
294	current density	-0.4185	-0.0504	18	37	37	1	2017
295	current energy situation	-0.3972	-0.5998	17	51	51	1	2020
296	current voltage	0.0881	-0.2092	22	61	61	1	2024
297	current voltage measurement	-0.1165	-0.1911	7	113	116	2	2017.5
298	curve	0.0882	-0.211	22	61	61	1	2024
299	cycle	0.0871	-0.2117	22	61	61	1	2024
300	cyclic voltammetry	-0.1192	0.0519	2	218	254	5	2020.2
301	cyclohex	0.5886	0.7129	12	74	74	1	2023
302	d limonene additive	0.5897	0.711	12	74	74	1	2023
303	data evaluation affirm	-0.4192	-0.0504	18	37	37	1	2017
304	day	0.0467	0.5147	4	36	36	1	2022
305	decay	2.7016	-0.4824	11	52	52	1	2018
306	decent efficiency	-0.3977	-0.601	17	51	51	1	2020
307	decoration	0.1029	-0.4045	7	72	72	1	2014
308	deep ultraviolet range	-1.0751	0.2485	20	39	39	1	2022
309	degree	0.0594	-0.026	27	49	49	1	2017
310	density functional theory	0.3563	0.4246	13	69	69	1	2021
311	detail	-0.4712	0.0446	2	176	242	6	2019
312	development	-0.2026	-0.5904	8	126	138	3	2019
313	device	0.5707	0.4383	6	181	203	3	2019.3333
314	device stability	-0.1817	0.1723	4	20	20	1	2015
315	dft	0.3567	0.4253	13	69	69	1	2021
316	dielectric	-0.7968	0.2336	3	27	27	1	2018
317	dielectric loss	0.7704	0.6988	6	83	83	1	2022
318	dielectric phenomenon	-0.5254	0.2416	3	46	46	1	2016
319	dielectric study	-0.3965	-0.5997	17	51	51	1	2020
320	differential scanning	0.1006	-0.4038	7	72	72	1	2014
321	differential scanning calorimetry	-0.0545	0.7867	16	167	175	4	2017.25
322	diffusion	0.771	0.6943	6	83	83	1	2022
323	diffusion coefficient	-0.1093	0.2815	3	195	212	4	2017.75
324	diffusion length	0.5921	0.714	12	74	74	1	2023
325	dimethyl sulfoxide	-0.4187	-0.0503	18	37	37	1	2017
326	dimethylformamide	-0.0019	-0.1908	5	127	139	3	2019.3333
327	dimidazol	0.8531	0.0916	10	57	57	1	2021
328	diminished crystallinity	0.1493	-0.294	5	53	53	1	2021
329	direct conversion	-0.0971	-0.9913	8	45	45	1	2020
330	direction	-0.3977	-0.6001	17	51	51	1	2020
331	dissociation	-0.0659	-0.1509	21	56	56	1	2015
332	dissolution	0.1011	-0.4073	7	72	72	1	2014
333	dmf	-0.26	0.0434	18	76	81	2	2016.5
334	dmso	-0.4193	-0.0507	18	37	37	1	2017
335	dopant	-0.3824	-0.0606	2	57	57	1	2023
336	doped ionic liquid film	-0.2256	-0.1748	2	32	32	1	2010
337	doping	0.0858	-0.2112	22	61	61	1	2024
338	doping salt	-0.57	-0.3934	1	41	41	1	2022
339	dpipa	0.8528	0.0902	10	57	57	1	2021
340	dpmda	0.8525	0.09	10	57	57	1	2021
341	dpmppa	0.8518	0.0917	10	57	57	1	2021
342	dptcy dye mn m	0.7719	0.694	6	83	83	1	2022
343	dsc	0.1549	0.3647	16	332	358	7	2016.5714
344	dsc measurement	0.13	0.6465	9	39	39	1	2014
345	dsp	0.7708	0.6936	6	83	83	1	2022
346	dssc	-0.0639	-0.1027	2	930	1314	30	2019.4667
347	dssc application	-0.4184	-0.0509	18	37	37	1	2017
348	dssc cell	0.0585	-0.0253	27	49	49	1	2017
349	dssc characterization	-0.0641	-0.1506	21	56	56	1	2015
350	dssc device	-0.0949	-0.7449	23	40	40	1	2022
351	dssc electrolyte	-1.4927	-0.0748	14	51	51	1	2022
352	dssc photoanode material	-0.3978	-0.5991	17	51	51	1	2020
353	dssc property	-0.1446	-0.8004	8	36	36	1	2023
354	dssc supercapacitor	-0.3964	-0.6004	17	51	51	1	2020
355	dsscs	0.4754	-0.2816	8	353	403	9	2019.7778
356	dsscs device	0.589	0.7116	12	74	74	1	2023
357	dual energy device	-0.5589	0.1302	2	35	35	1	2023
358	dual purpose	-0.3984	-0.5997	17	51	51	1	2020
359	durability	0.3248	-0.1211	24	46	46	1	2013
360	dye	0.3128	0.0609	10	297	341	6	2020
361	dye coated tio2 photoanode	-0.0405	0.245	4	35	35	1	2020
362	dye electrolyte interface	-0.1502	0.2209	4	38	38	1	2017
363	dye regeneration	0.5921	0.7123	12	74	74	1	2023
364	dye sensitised solar cell	-0.7562	0.1591	20	83	83	2	2021.5
365	dye sensitised solar cell performance	-1.4928	-0.074	14	51	51	1	2022
366	dye sensitive solar cell	-0.5153	-0.309	15	41	41	1	2016
367	dye sensitized solar cell	0.0002	-0.0753	4	924	1353	31	2018.8065
368	dye sensitized solar cell application	0.1059	0.231	6	288	348	7	2019.1429
369	dye sensitized solar cell applications	-0.3826	-0.0614	2	57	57	1	2023
370	dye sensitized solar cell fabrication	-0.5265	0.2415	3	46	46	1	2016
371	dye sensitized solar cell integrated supercapacitor	-0.3968	-0.6001	17	51	51	1	2020
372	dye sensitized solar cell performance	-0.5149	-0.3089	15	41	41	1	2016
373	dye sensitized solar cells	0.8509	0.0903	10	57	57	1	2021
374	dye sensitized solar cells application	-0.5692	-0.3934	1	41	41	1	2022
375	dynamic mechanical analysis	-0.607	-0.3472	1	62	62	1	2015
376	ease	-0.0643	-0.1514	21	56	56	1	2015
377	easy manufacturing	-0.3968	-0.5992	17	51	51	1	2020
378	easy production	-0.0984	-0.9912	8	45	45	1	2020
379	ecological concern	-1.4931	-0.075	14	51	51	1	2022
380	edax	0.1028	-0.4071	7	72	72	1	2014
381	edlc	-0.49	-0.0026	2	100	126	3	2022.6667
382	edlc cell	-0.5584	0.1298	2	35	35	1	2023
383	edlcs	-0.5591	0.1298	2	35	35	1	2023
384	edx	0.6095	0.2493	26	51	51	1	2022
385	effect	-0.1615	0.0855	14	388	463	9	2019.4444
386	effective dssc system	0.0866	-0.2104	22	61	61	1	2024
387	effective reduction	0.148	-0.2943	5	53	53	1	2021
388	effective role	0.6107	0.2493	26	51	51	1	2022
389	efficiency	-0.0975	0.1325	3	540	722	16	2018.4375
390	efficient dssc	-0.0953	-0.7437	23	40	40	1	2022
391	efficient dye sensitized solar cell	-0.0949	-0.7437	23	40	40	1	2022
392	efficient dye sensitized solar cells	-0.5593	0.1297	2	35	35	1	2023
393	efficient electrochemical cell	2.7011	-0.481	11	52	52	1	2018
394	efficient generation technology	-1.4927	-0.0758	14	51	51	1	2022
395	efficient solidifier	-0.1815	0.1723	4	20	20	1	2015
396	eis	-0.3221	-0.204	17	136	146	3	2020
397	eis measurement	-0.3834	-0.0606	2	57	57	1	2023
398	electric double layer capacitor	-0.5587	0.1296	2	35	35	1	2023
399	electrical	-0.4618	0.0153	2	113	129	3	2021
400	electrical characterisation	-1.0743	0.2489	20	39	39	1	2022
401	electrical conductivity	-1.0746	0.248	20	39	39	1	2022
402	electrical energy	-1.4943	-0.0756	14	51	51	1	2022
403	electrical impedance spectroscopy	-0.7972	0.2339	3	27	27	1	2018
404	electrical power	-0.0973	-0.9921	8	45	45	1	2020
405	electrical property	-0.7221	0.2192	20	59	59	2	2018.5
406	electrochemical behavior	-0.3965	-0.5994	17	51	51	1	2020
407	electrochemical conversion device	-1.4938	-0.0756	14	51	51	1	2022
408	electrochemical device	-0.4188	-0.0205	25	77	78	2	2021.5
409	electrochemical double layer capacitor	-0.3844	-0.0606	2	57	57	1	2023
410	electrochemical effect	-0.0947	-0.7449	23	40	40	1	2022
411	electrochemical factor	0.5886	0.7135	12	74	74	1	2023
412	electrochemical impedance spectroscopy	-0.276	-0.2674	1	285	347	7	2019.2857
413	electrochemical impedance spectrum result	0.3559	0.424	13	69	69	1	2021
414	electrochemical property	-0.5884	-0.3694	1	92	103	2	2018.5
415	electrochemical stability	-0.5209	-0.5559	1	37	37	1	2022
416	electrochemical study	0.0865	-0.209	22	61	61	1	2024
417	electrochemist	-0.0456	-0.3741	5	42	42	1	2021
418	electrochromic display	0.0996	-0.4064	7	72	72	1	2014
419	electrolyte	-0.1059	-0.0508	5	619	801	17	2019.7059
420	electrolyte dissociation theory	-0.5212	-0.5556	1	37	37	1	2022
421	electrolyte sample	-0.607	-0.3452	1	62	62	1	2015
422	electrolyte uptake	-0.095	-0.7446	23	40	40	1	2022
423	electrolytes	-0.3832	-0.0597	2	57	57	1	2023
424	electron	-0.3726	0.3872	20	226	247	4	2022.25
425	electron lifetime	0.645	0.4375	10	279	334	5	2021.8
426	electron micrography	0.1	-0.4039	7	72	72	1	2014
427	electron microscopy	-0.1348	0.1522	9	245	286	6	2017.3333
428	electron recombination	2.6996	-0.4828	11	52	52	1	2018
429	electron rich triphenylamine core	0.8513	0.0905	10	57	57	1	2021
430	electron transfer rate	2.7008	-0.4807	11	52	52	1	2018
431	electron transport	-0.1497	0.2204	4	38	38	1	2017
432	electrophotochemical study	-0.4187	-0.051	18	37	37	1	2017
433	electrospun	-0.0949	-0.7442	23	40	40	1	2022
434	electrospun membrane	-0.0946	-0.7443	23	40	40	1	2022
435	elevate ionic conductivity	0.1485	-0.293	5	53	53	1	2021
436	embedded energy system	-0.3973	-0.5994	17	51	51	1	2020
437	embedded energy unit	-0.3982	-0.6007	17	51	51	1	2020
438	emimscn	-0.3153	-0.1097	2	76	89	2	2016.5
439	ene	0.5912	0.7146	12	74	74	1	2023
440	energy	2.6994	-0.4823	11	52	52	1	2018
